cell_line,knockdown,n_cells,effect_l2,relative_effect,n_de_genes,on_target_residual,mean_cross_line_r
RPE1,RPS27A,69,13.7934,1.7386,1176,0.1498,0.5195
RPE1,RPS28,21,11.8107,1.4887,16,0.2620,0.4199
RPE1,RPS29,68,5.6941,0.7177,0,0.8252,0.3976
RPE1,RPS3,25,11.1047,1.3997,3,0.2634,0.4933
RPE1,RPS3A,40,11.7950,1.4867,244,0.2306,0.4565
RPE1,RPS4X,24,15.9793,2.0141,239,0.1275,0.3513
RPE1,RPS5,16,16.4051,2.0678,63,0.2189,0.4085
RPE1,RPS6,51,14.6311,1.8442,860,0.0877,0.5023
RPE1,RPS7,38,13.9854,1.7628,266,0.1351,0.4777
RPE1,RPS8,34,14.0238,1.7676,228,0.1434,0.4599
RPE1,RPS9,35,11.0188,1.3889,30,0.3173,0.5044
RPE1,RPSA,24,12.7158,1.6028,43,0.1955,0.4313
RPE1,RPTOR,30,9.2667,1.1680,12,,0.2371
RPE1,RPUSD3,112,5.0103,0.6315,29,0.0207,0.1414
RPE1,RPUSD4,66,5.8931,0.7428,7,0.0765,0.1798
RPE1,RRM1,67,8.2286,1.0372,9,0.0239,0.1959
RPE1,RRM2,229,7.4796,0.9428,972,0.1568,0.2182
RPE1,RRN3,44,9.3912,1.1837,12,0.1893,0.2456
RPE1,RRP1,12,12.8723,1.6225,1,0.1390,0.2568
RPE1,RRP12,31,13.1965,1.6634,15,0.2490,0.3657
RPE1,RRP15,25,13.4089,1.6901,4,0.4173,0.1128
RPE1,RRP7A,24,13.5640,1.7097,4,0.0404,0.3188
RPE1,RRP9,30,11.8845,1.4980,2,0.3345,0.2198
RPE1,RRS1,64,12.2939,1.5496,334,0.1646,0.3065
RPE1,RSL1D1,114,3.2557,0.4104,0,0.5903,0.1972
RPE1,RSL24D1,14,13.1742,1.6605,0,0.1527,0.2089
RPE1,RSRC2,70,4.2017,0.5296,2,0.2383,0.0818
RPE1,RTCB,65,7.6888,0.9691,88,0.0865,0.1685
RPE1,RTEL1,305,4.3858,0.5528,143,,0.0701
RPE1,RTF1,50,12.6293,1.5919,616,0.1421,0.2880
RPE1,RTTN,102,4.9856,0.6284,0,,-0.0163
RPE1,RUVBL1,119,11.6656,1.4704,1740,0.2376,0.3484
RPE1,RUVBL2,64,12.6180,1.5904,732,0.0789,0.2393
RPE1,SACM1L,71,9.0924,1.1460,328,0.0000,0.1084
RPE1,SAE1,95,7.0893,0.8936,217,0.0203,0.1764
RPE1,SAMM50,43,11.8773,1.4971,224,0.0000,0.3327
RPE1,SAP130,36,6.9589,0.8771,3,0.3286,0.2005
RPE1,SAP18,17,10.0587,1.2678,4,0.3197,0.1360
RPE1,SAP30BP,37,9.4338,1.1891,34,0.1070,0.0746
RPE1,SARNP,52,5.0551,0.6372,6,0.0511,0.0655
RPE1,SARS,16,15.4727,1.9503,94,0.3966,0.2628
RPE1,SARS2,109,4.1685,0.5254,11,0.0532,0.0576
RPE1,SART1,105,10.4633,1.3188,1184,0.3791,0.4834
RPE1,SART3,240,11.5697,1.4583,2918,0.0991,0.5331
RPE1,SASS6,50,10.3728,1.3074,6,0.0718,0.1029
RPE1,SBDS,87,4.9842,0.6282,5,0.0925,0.0891
RPE1,SBNO1,172,4.6587,0.5872,133,0.1333,0.2699
RPE1,SCAF1,73,9.9697,1.2566,757,0.3317,0.2839
RPE1,SCAP,78,4.9165,0.6197,1,0.0000,0.1076
RPE1,SCD,138,3.0406,0.3833,6,0.0846,0.0503
RPE1,SCFD1,67,14.7011,1.8530,1494,0.1344,0.1720
RPE1,SCNM1,85,3.3886,0.4271,0,0.0666,0.0041
RPE1,SDAD1,38,12.6634,1.5962,40,0.1236,0.3092
RPE1,SDC1,83,6.9842,0.8803,4,,0.2719
RPE1,SDE2,54,5.2145,0.6573,1,0.1073,0.1532
RPE1,SDHA,76,4.0924,0.5158,2,0.1211,0.0553
RPE1,SDHAF2,193,2.8618,0.3607,8,0.0352,0.0935
RPE1,SDHC,49,6.5364,0.8239,7,0.0267,0.0846
RPE1,SDHD,51,4.8122,0.6066,1,0.5949,0.0011
RPE1,SEC13,7,14.9984,1.8905,4,0.0000,0.0770
RPE1,SEC16A,225,3.7539,0.4732,130,0.1915,0.0295
RPE1,SEC61A1,45,4.0891,0.5154,0,0.5467,0.3590
RPE1,SEC61B,54,9.4777,1.1946,97,0.0703,0.3494
RPE1,SEC61G,15,12.5681,1.5842,23,0.5792,0.4694
RPE1,SEC62,25,10.8195,1.3638,2,0.1204,0.0011
RPE1,SEC63,75,5.7439,0.7240,22,0.0000,0.1909
RPE1,SEH1L,124,7.7145,0.9724,377,0.0000,0.3244
RPE1,SEM1,97,11.0632,1.3945,853,0.0842,0.3970
RPE1,SENP6,27,9.3145,1.1741,1,0.4472,0.0407
RPE1,SEPHS2,81,4.2283,0.5330,3,0.0000,0.0514
RPE1,SEPSECS,168,3.6090,0.4549,14,,0.0311
RPE1,SERBP1,102,4.4682,0.5632,1,0.0948,0.2516
RPE1,SET,43,5.2627,0.6633,1,0.2281,0.0474
RPE1,SETD1A,83,10.1584,1.2804,597,0.3771,0.3932
RPE1,SETD2,50,5.1781,0.6527,3,0.1373,0.0295
RPE1,SETDB1,122,3.9158,0.4936,18,,0.0444
RPE1,SF1,30,10.0915,1.2720,76,0.0235,0.2061
RPE1,SF3A1,44,3.4772,0.4383,0,0.7723,0.0150
RPE1,SF3A2,78,5.7499,0.7247,11,0.4680,0.4486
RPE1,SF3A3,23,14.5933,1.8394,145,0.2340,0.4083
RPE1,SF3B1,43,7.1924,0.9066,26,0.9106,0.2990
RPE1,SF3B2,41,9.7118,1.2241,165,0.2912,0.4290
RPE1,SF3B3,165,12.3282,1.5539,2668,0.1638,0.5718
RPE1,SF3B4,70,10.0214,1.2632,336,0.2362,0.5123
RPE1,SF3B5,82,10.7832,1.3592,832,0.2346,0.4552
RPE1,SFPQ,118,13.1374,1.6559,2105,0.2816,0.3093
RPE1,SFSWAP,30,11.8115,1.4888,15,0.0511,0.2209
RPE1,SGPP1,105,3.3150,0.4178,0,,0.0109
RPE1,SHQ1,150,7.8930,0.9949,317,,0.0307
RPE1,SIGLEC14,79,5.3685,0.6767,6,,0.1650
RPE1,SIN3A,74,4.9088,0.6187,5,0.4645,0.1718
RPE1,SKA1,58,6.8414,0.8623,4,0.0000,0.0135
RPE1,SKA3,65,7.8654,0.9914,7,0.0640,0.1780
RPE1,SKP1,27,8.8341,1.1135,16,0.0496,0.1692
RPE1,SKP2,38,5.4530,0.6873,2,0.0000,0.0871
RPE1,SLBP,40,10.3280,1.3018,9,0.1153,0.3526
RPE1,SLC16A5,22,11.6214,1.4648,16,,0.1997
RPE1,SLC1A5,981,1.2838,0.1618,3,0.0858,0.1430
RPE1,SLC25A10,224,2.6744,0.3371,8,0.8126,0.1789
RPE1,SLC25A26,50,4.7426,0.5978,2,0.4595,-0.0070
RPE1,SLC25A3,45,5.5580,0.7006,1,0.0451,0.1340
RPE1,SLC35B1,42,8.5789,1.0813,84,0.0000,0.2251
RPE1,SLC35G6,124,2.9976,0.3778,0,,-0.0015
RPE1,SLC39A10,142,3.3044,0.4165,5,0.1147,0.0681
RPE1,SLC39A7,24,14.5521,1.8342,138,0.0367,0.3297
RPE1,SLC39A9,117,4.0613,0.5119,14,0.0811,0.2262
RPE1,SLC4A5,54,3.2334,0.4076,0,,0.0220
RPE1,SLC7A5,253,2.3370,0.2946,4,0.0522,0.0923
RPE1,SLC7A6OS,107,6.8955,0.8691,101,0.0382,0.3080
RPE1,SLC9B1,87,3.5312,0.4451,1,,0.0072
RPE1,SLU7,78,14.8414,1.8707,1956,0.1501,0.5934
RPE1,SMAGP,176,2.8202,0.3555,7,0.0846,0.0357
RPE1,SMARCB1,70,4.5037,0.5677,2,0.3800,0.0550
RPE1,SMARCE1,51,6.9979,0.8821,42,0.0081,0.0882
RPE1,SMC1A,94,12.5446,1.5812,1319,0.0480,0.3020
RPE1,SMC2,82,9.7298,1.2264,191,0.1139,0.2919
RPE1,SMC3,30,6.9923,0.8813,1,0.2725,0.2175
RPE1,SMC4,42,9.3615,1.1800,0,0.3169,0.3210
RPE1,SMC5,61,10.5736,1.3328,22,0.0476,0.0546
RPE1,SMC6,32,13.2758,1.6733,6,0.0000,0.1433
RPE1,SMG1,48,6.4079,0.8077,38,0.5378,0.1517
RPE1,SMG5,468,11.5833,1.4600,2819,0.0762,0.7732
RPE1,SMG6,138,5.9734,0.7529,162,0.4112,0.2633
RPE1,SMN2,424,13.1679,1.6597,3902,,0.6513
RPE1,SMNDC1,80,8.6055,1.0847,327,0.0189,0.2895
RPE1,SMU1,82,18.6268,2.3478,2646,0.1345,0.2510
RPE1,SMUG1,21,8.2476,1.0396,1,0.1625,0.0540
RPE1,SNAPC1,49,10.9457,1.3797,234,0.0367,0.3664
RPE1,SNAPC2,29,12.4347,1.5673,4,0.1039,0.3252
RPE1,SNAPC3,126,9.5402,1.2025,1058,0.1271,0.2372
RPE1,SNAPC4,87,6.0022,0.7565,63,,0.0554
RPE1,SNAPC5,45,9.0848,1.1451,6,0.0000,0.1734
RPE1,SNF8,155,3.2157,0.4053,8,0.0426,0.0769
RPE1,SNIP1,46,15.9484,2.0102,1478,0.0000,0.3778
RPE1,SNRNP200,101,17.3829,2.1910,3065,0.0743,0.4286
RPE1,SNRNP25,47,9.4003,1.1849,64,0.0000,0.2583
RPE1,SNRNP27,96,9.9662,1.2562,692,0.0172,0.3485
RPE1,SNRNP35,53,8.8728,1.1184,67,0.0000,0.3124
RPE1,SNRNP40,229,3.3999,0.4285,13,0.0758,0.2479
RPE1,SNRNP48,76,13.8290,1.7431,1348,0.0929,0.4621
RPE1,SNRNP70,56,13.3407,1.6815,920,0.3986,0.4157
RPE1,SNRPA1,26,12.8930,1.6251,199,0.1261,0.4982
RPE1,SNRPB,55,10.2068,1.2865,268,0.3056,0.4310
RPE1,SNRPC,108,13.8227,1.7423,2148,0.0790,0.4055
RPE1,SNRPD1,56,12.3401,1.5554,655,0.2527,0.4910
RPE1,SNRPD2,33,8.5225,1.0742,23,0.3647,0.4715
RPE1,SNRPD3,40,11.7981,1.4871,301,0.3873,0.4922
RPE1,SNRPE,49,13.1561,1.6583,698,0.2691,0.5406
RPE1,SNRPF,55,8.9584,1.1292,190,0.4640,0.5124
RPE1,SNRPG,67,13.9526,1.7587,1209,0.0981,0.3698
RPE1,SNUPN,66,5.1823,0.6532,2,0.0843,0.0650
RPE1,SNW1,96,3.5253,0.4443,8,0.9557,0.1336
RPE1,SNX15,156,2.0540,0.2589,1,0.2877,0.0898
RPE1,SOD1,23,12.3048,1.5510,10,0.1479,0.1306
RPE1,SOD2,144,2.6709,0.3367,1,0.2489,0.0233
RPE1,SON,84,5.8567,0.7382,80,0.6072,0.2569
RPE1,SP2,72,5.3822,0.6784,8,,0.1228
RPE1,SPATA5,50,10.6568,1.3432,8,,0.1085
RPE1,SPATA5L1,56,11.0821,1.3968,57,0.1042,0.1661
RPE1,SPC24,69,11.7989,1.4872,489,0.0000,0.3181
RPE1,SPC25,495,9.6770,1.2197,2870,0.1054,0.3740
RPE1,SPCS2,59,12.1312,1.5291,479,0.1125,0.3180
RPE1,SPCS3,72,4.3749,0.5514,26,0.1170,0.3597
RPE1,SPDL1,11,14.7945,1.8648,0,0.1169,-0.0099
RPE1,SPDYE2,42,4.2162,0.5314,0,,0.0158
RPE1,SPRTN,93,3.3479,0.4220,0,0.2855,0.0023
RPE1,SPTLC1,34,6.4099,0.8079,6,0.0000,0.0707
RPE1,SPTSSA,104,3.5644,0.4493,1,0.0153,0.0102
RPE1,SRBD1,54,11.4773,1.4467,100,0.0496,0.2575
RPE1,SRCAP,125,4.0437,0.5097,14,0.4035,0.0971
RPE1,SRF,95,6.7292,0.8482,85,0.1739,0.0762
RPE1,SRFBP1,12,14.7939,1.8647,11,0.0000,0.2525
RPE1,SRP14,93,6.3380,0.7989,109,0.0884,0.2699
RPE1,SRP19,45,8.7782,1.1065,58,0.2109,0.1593
RPE1,SRP54,27,12.3013,1.5505,46,0.0000,0.3188
RPE1,SRP68,55,15.8435,1.9970,1359,0.0877,0.4485
RPE1,SRP72,164,8.3644,1.0543,1031,0.2009,0.3202
RPE1,SRP9,143,5.7960,0.7306,178,0.0669,0.2711
RPE1,SRPRB,191,4.6467,0.5857,163,0.1311,0.2373
RPE1,SRRM1,78,7.1684,0.9035,126,0.2865,0.4040
RPE1,SRRM2,79,5.7361,0.7230,12,0.2596,0.2241
RPE1,SRRT,84,10.1187,1.2754,953,0.2639,0.4487
RPE1,SRSF1,42,8.7603,1.1042,50,0.4741,0.3490
RPE1,SRSF10,119,4.2592,0.5369,8,0.0511,0.2549
RPE1,SRSF11,158,2.2066,0.2781,1,0.6478,0.1026
RPE1,SRSF2,40,9.2776,1.1694,25,0.3116,0.2068
RPE1,SRSF3,47,14.0014,1.7648,1049,0.3437,0.2597
RPE1,SRSF6,88,3.8130,0.4806,1,0.2724,0.2020
RPE1,SRSF7,151,10.5279,1.3270,1703,0.0628,0.2797
RPE1,SS18L2,166,2.7074,0.3413,2,0.0856,0.0889
RPE1,SSBP1,53,5.2938,0.6673,10,0.1356,0.3107
RPE1,SSBP3,447,1.6986,0.2141,1,0.0496,0.0223
RPE1,SSRP1,10,13.2726,1.6729,2,0.2595,0.3481
RPE1,SSU72,255,10.8842,1.3719,2691,0.0684,0.3924
RPE1,SSX4,76,3.6883,0.4649,0,,-0.0047
RPE1,STARD7,78,3.9342,0.4959,3,0.0445,0.0562
RPE1,STAT5A,95,4.0680,0.5127,0,,-0.0194
RPE1,STIL,69,14.0133,1.7663,1138,0.0444,0.1033
RPE1,STRAP,69,8.3728,1.0553,72,0.0556,0.3775
RPE1,STRIP1,128,2.9042,0.3661,1,,0.0355
RPE1,STX18,20,13.6782,1.7241,117,0.0000,0.2272
RPE1,STX5,68,17.4782,2.2030,2354,0.0000,0.0404
RPE1,SUGP1,28,10.7411,1.3539,21,0.2234,0.2420
RPE1,SUGT1,18,11.9370,1.5046,1,0.1254,0.1322
RPE1,SUMO2,38,6.4006,0.8068,4,0.2020,0.1000
RPE1,SUPT16H,33,13.3662,1.6847,286,0.1435,0.4196
RPE1,SUPT4H1,21,11.7012,1.4749,19,0.0000,0.1164
RPE1,SUPT5H,11,15.9985,2.0165,63,0.2043,0.3717
RPE1,SUPT6H,21,11.9270,1.5033,83,0.3168,0.2874
RPE1,SUPV3L1,101,4.9549,0.6245,12,0.0862,0.3322
RPE1,SURF6,39,12.5413,1.5808,17,0.4334,0.2232
RPE1,SYF2,66,7.8289,0.9868,79,0.0503,0.3068
RPE1,SYMPK,69,13.8348,1.7438,1445,0.1253,0.4678
RPE1,SYS1,68,11.1803,1.4092,363,0.0000,0.1413
RPE1,TACC3,297,1.8235,0.2298,3,0.0685,0.1024
RPE1,TADA2A,119,4.9594,0.6251,59,,0.2272
RPE1,TADA3,68,8.2239,1.0366,220,0.1826,0.1805
RPE1,TAF1,6,19.6521,2.4771,74,0.0000,0.2238
RPE1,TAF10,27,10.2089,1.2868,61,0.2435,0.4385
RPE1,TAF12,13,14.1348,1.7816,59,0.0000,0.3867
RPE1,TAF1B,12,13.6072,1.7151,0,0.0000,0.0837
RPE1,TAF1C,19,11.1140,1.4009,0,,0.1515
RPE1,TAF1D,45,7.7143,0.9723,1,0.1845,0.1840
RPE1,TAF2,67,11.3360,1.4289,798,0.0000,0.4392
RPE1,TAF5,23,13.3263,1.6797,89,,0.3867
RPE1,TAF6,75,6.2334,0.7857,116,0.0000,0.4232
RPE1,TAF7,49,7.9463,1.0016,45,0.4322,0.3709
RPE1,TAF8,76,9.8754,1.2448,648,,0.4542
RPE1,TAMM41,115,4.7307,0.5963,28,,0.0882
RPE1,TANGO6,56,9.6987,1.2225,87,,0.4265
RPE1,TARDBP,1675,4.4976,0.5669,1896,0.0622,0.3318
RPE1,TARS,63,8.6895,1.0953,177,0.0968,0.4336
RPE1,TARS2,190,3.5697,0.4499,11,0.0334,0.1347
RPE1,TBC1D28,82,2.5981,0.3275,0,,0.0046
RPE1,TBC1D3,88,4.3498,0.5483,0,,0.0279
RPE1,TBCA,161,2.9789,0.3755,2,0.0400,0.1761
RPE1,TBCB,40,11.6455,1.4679,89,0.0803,0.3035
RPE1,TBCC,23,9.1053,1.1477,2,0.0000,-0.0237
RPE1,TBCD,54,4.9314,0.6216,1,0.2079,0.0777
RPE1,TBCE,125,4.8112,0.6064,7,,0.0765
RPE1,TBL3,7,15.1982,1.9157,1,0.0000,0.1492
RPE1,TBP,85,8.3542,1.0530,287,,0.2521
RPE1,TCERG1,63,7.1031,0.8953,54,0.0435,0.2878
RPE1,TCOF1,37,9.5425,1.2028,38,0.3669,0.1114
RPE1,TCP1,30,7.6927,0.9696,1,0.7060,0.1219
RPE1,TDGF1,44,5.2280,0.6590,1,,0.0060
RPE1,TEAD3,143,2.8139,0.3547,0,,0.0051
RPE1,TEFM,100,5.5181,0.6955,17,0.1041,0.4200
RPE1,TELO2,47,7.4520,0.9393,33,0.0000,0.3529
RPE1,TEN1,130,3.4005,0.4286,10,0.0746,0.0203
RPE1,TERF1,36,5.4256,0.6839,3,0.1546,0.0040
RPE1,TERF2,68,11.6769,1.4718,510,0.3551,0.3065
RPE1,TEX10,78,13.7197,1.7293,1052,0.0000,0.3011
RPE1,TFAM,3580,3.6021,0.4540,895,0.0513,0.5909
RPE1,TFB2M,108,3.2930,0.4151,5,0.1481,0.0434
RPE1,TFDP1,173,4.5154,0.5691,8,0.0509,0.2807
RPE1,TFIP11,13,14.8914,1.8770,52,0.0000,0.2732
RPE1,TFRC,315,2.3893,0.3012,6,0.0480,0.0450
RPE1,TGS1,65,8.3730,1.0554,104,0.3580,0.1811
RPE1,THAP1,152,13.3629,1.6843,2333,0.0543,0.2827
RPE1,THAP11,147,4.1150,0.5187,75,0.0634,0.2975
RPE1,THG1L,57,8.1292,1.0246,117,0.0000,0.3840
RPE1,THOC1,26,10.8065,1.3621,36,0.0000,0.1649
RPE1,THOC2,14,12.9956,1.6380,58,0.3344,0.3763
RPE1,THOC3,70,9.5366,1.2020,352,0.0000,0.3832
RPE1,THOC5,61,11.2300,1.4155,346,0.0690,0.3394
RPE1,THOC6,146,3.3938,0.4278,10,0.0000,0.1557
RPE1,THOC7,175,7.8359,0.9877,795,0.1250,0.3493
RPE1,TICRR,28,12.5665,1.5840,7,,0.2366
RPE1,TIGD1,97,3.3455,0.4217,1,,0.0099
RPE1,TIMELESS,18,11.1094,1.4003,0,0.0817,0.1904
RPE1,TIMM10,110,7.5944,0.9572,147,0.0145,0.1373
RPE1,TIMM13,123,5.1035,0.6433,36,0.0878,0.3439
RPE1,TIMM22,31,11.4510,1.4433,3,0.0000,0.0953
RPE1,TIMM23B,348,10.6945,1.3480,2447,,0.5765
RPE1,TIMM44,51,10.9735,1.3832,202,0.0630,0.4107
RPE1,TIMM8A,150,3.0055,0.3788,3,0.0230,0.0402
RPE1,TIMM9,41,10.6321,1.3401,3,0.1064,0.1724
RPE1,TINF2,48,10.0654,1.2687,4,0.0000,0.2574
RPE1,TIPIN,34,11.6643,1.4702,19,0.0465,0.1656
RPE1,TKT,128,2.3280,0.2934,1,0.2875,0.0953
RPE1,TLCD1,131,2.9842,0.3761,0,,0.0085
RPE1,TLN1,37,8.4331,1.0630,12,0.1924,0.0787
RPE1,TM7SF2,160,2.6478,0.3337,0,,0.0114
RPE1,TMA16,17,13.2625,1.6717,0,0.0000,0.2213
RPE1,TMED2,77,6.5150,0.8212,200,0.0429,0.1519
RPE1,TMEM127,98,3.6010,0.4539,4,0.0000,0.0523
RPE1,TMEM199,78,3.6777,0.4636,2,0.0000,0.0394
RPE1,TMEM240,94,3.6088,0.4549,0,,-0.0085
RPE1,TMEM258,67,7.7626,0.9784,73,0.0583,0.3081
RPE1,TMSB10,81,8.0290,1.0120,33,0.0467,0.2822
RPE1,TMX2,143,6.4596,0.8142,434,0.0650,0.3666
RPE1,TNNT2,166,2.7076,0.3413,0,,0.0052
RPE1,TNPO3,56,12.3687,1.5590,674,0.0601,0.4518
RPE1,TOE1,69,5.2046,0.6560,1,0.1643,0.0926
RPE1,TOMM20,67,6.3948,0.8060,15,0.0492,0.2175
RPE1,TOMM22,115,6.8026,0.8574,88,0.0944,0.5070
RPE1,TOMM40,80,7.4158,0.9347,31,0.0254,0.3209
RPE1,TONSL,46,11.2017,1.4119,36,0.2366,0.3068
RPE1,TOP1,48,11.8387,1.4922,170,0.2084,0.1820
RPE1,TOP2A,6,13.3242,1.6794,0,0.0267,0.0547
RPE1,TOP3A,63,5.8642,0.7392,3,0.0736,0.0350
RPE1,TOPBP1,19,10.7065,1.3495,6,0.1041,0.2076
RPE1,TOR2A,51,4.5426,0.5726,1,0.0000,0.0066
RPE1,TP53RK,90,9.7044,1.2232,449,0.1174,0.2885
RPE1,TPI1,67,4.5936,0.5790,2,0.1434,0.0675
RPE1,TPR,131,7.8224,0.9860,844,0.0534,0.2496
RPE1,TPRKB,134,7.8867,0.9941,720,0.0818,0.1626
RPE1,TPT1,583,4.9742,0.6270,823,0.1017,0.2918
RPE1,TPX2,28,11.1088,1.4002,3,0.0502,0.2121
RPE1,TRA2B,100,4.7813,0.6027,20,0.0908,0.2867
RPE1,TRAIP,59,7.8477,0.9892,0,,0.0590
RPE1,TRAPPC1,82,10.8406,1.3664,878,0.0269,0.0593
RPE1,TRAPPC11,235,14.1965,1.7894,3266,0.0819,0.1905
RPE1,TRAPPC3,77,11.6348,1.4665,898,0.0567,0.0956
RPE1,TRAPPC4,27,9.8412,1.2404,4,0.0692,0.1175
RPE1,TRAPPC5,111,14.5732,1.8369,2398,0.0383,0.2119
RPE1,TRAPPC8,34,18.3156,2.3086,1277,0.2282,0.0906
RPE1,TREML2,74,3.7423,0.4717,0,,-0.0112
RPE1,TREX2,384,7.5880,0.9564,1744,,0.2598
RPE1,TRIAP1,38,8.3899,1.0575,5,0.0333,0.0660
RPE1,TRIM49C,59,4.0712,0.5132,0,,0.0111
RPE1,TRMT10C,105,4.8989,0.6175,12,0.0726,0.1557
RPE1,TRMT112,68,11.0257,1.3897,175,0.1427,0.4422
RPE1,TRMT5,62,9.0669,1.1428,153,0.2096,0.3383
RPE1,TRMT6,117,4.5343,0.5715,23,0.0660,0.0291
RPE1,TRNP1,85,4.0378,0.5089,0,,0.0012
RPE1,TRNT1,354,8.3752,1.0557,2061,0.0695,0.3717
RPE1,TRPM7,54,4.2855,0.5402,1,0.0451,0.0501
RPE1,TRRAP,20,13.3482,1.6825,220,0.4336,0.4406
RPE1,TSEN2,86,10.1403,1.2781,492,,0.4619
RPE1,TSEN34,176,2.5198,0.3176,2,0.0997,0.0229
RPE1,TSEN54,74,9.4000,1.1848,287,,0.1222
RPE1,TSFM,101,3.7710,0.4753,6,0.0142,0.0582
RPE1,TSG101,59,11.7988,1.4872,329,0.2034,0.3002
RPE1,TSPYL5,47,8.9940,1.1336,117,,0.1272
RPE1,TSR1,104,3.7820,0.4767,3,0.3797,0.3437
RPE1,TSR2,95,11.7058,1.4755,1055,0.1072,0.4640
RPE1,TSSK3,95,3.5098,0.4424,0,,0.0183
RPE1,TTC1,122,7.5678,0.9539,167,0.0744,0.1968
RPE1,TTC27,34,10.2779,1.2955,78,0.0000,0.2783
RPE1,TTC4,125,5.0068,0.6311,39,0.0227,0.1828
RPE1,TTF2,67,5.8248,0.7342,0,0.0317,0.0760
RPE1,TTI1,81,8.5191,1.0738,383,0.0950,0.4200
RPE1,TTI2,23,8.5421,1.0767,0,,0.0494
RPE1,TTK,80,12.0666,1.5209,767,0.1786,0.3145
RPE1,TUBA1B,207,3.3431,0.4214,2,0.0907,0.1786
RPE1,TUBA1C,78,4.1552,0.5237,1,0.0262,0.0924
RPE1,TUBA3D,35,6.6335,0.8361,0,,0.0075
RPE1,TUBB,138,3.6095,0.4550,2,0.1295,0.2676
RPE1,TUBD1,123,3.7821,0.4767,0,,0.0399
RPE1,TUBE1,119,3.2925,0.4150,0,,-0.0097
RPE1,TUBG1,139,7.1705,0.9038,106,0.0425,0.0169
RPE1,TUBGCP2,166,8.9326,1.1259,1003,0.0601,0.2089
RPE1,TUBGCP3,70,10.7266,1.3520,169,0.0492,0.0885
RPE1,TUBGCP4,102,9.4738,1.1941,355,0.2224,0.1557
RPE1,TUBGCP5,96,10.4772,1.3206,588,0.0491,0.1242
RPE1,TUBGCP6,31,8.1448,1.0266,0,,0.0446
RPE1,TULP1,98,3.4322,0.4326,0,,-0.0103
RPE1,TUT1,111,3.5148,0.4430,0,,0.2312
RPE1,TVP23C,104,3.2417,0.4086,2,,0.0008
RPE1,TWF1,686,1.5180,0.1913,1,0.1183,0.0317
RPE1,TWISTNB,15,13.3593,1.6839,5,0.2771,0.3093
RPE1,TXN,82,4.1324,0.5209,1,0.0776,0.2062
RPE1,TXNL4A,33,7.8569,0.9903,2,0.3805,0.2502
RPE1,TXNL4B,174,3.3310,0.4199,2,,0.0764
RPE1,U2AF1,83,13.5691,1.7103,1694,,0.4804
RPE1,U2AF2,43,12.1294,1.5288,252,0.4098,0.2574
RPE1,U2SURP,39,15.1136,1.9050,607,0.0907,0.4555
RPE1,UBA1,48,4.5868,0.5781,3,0.3955,0.0651
RPE1,UBA2,156,5.6420,0.7111,178,0.1009,0.1863
RPE1,UBA3,61,8.0553,1.0153,122,0.0465,0.1437
RPE1,UBA5,72,4.7823,0.6028,14,0.1022,0.2034
RPE1,UBA52,78,7.1988,0.9074,1,0.4484,0.2842
RPE1,UBAP1,30,11.0921,1.3981,80,0.0000,0.3248
RPE1,UBC,19,8.9118,1.1233,3,0.1110,0.0784
RPE1,UBE2D3,20,9.2601,1.1672,2,0.2936,0.0451
RPE1,UBE2H,97,5.5275,0.6967,25,0.0229,0.0753
RPE1,UBE2I,74,9.6757,1.2196,242,0.1489,0.2123
RPE1,UBE2L3,129,4.6112,0.5812,48,0.0704,0.1231
RPE1,UBE2M,279,4.2234,0.5323,103,0.1867,0.0699
RPE1,UBE2N,121,3.7278,0.4699,7,0.1650,0.0936
RPE1,UBE2Z,71,3.7005,0.4664,1,0.0693,0.0118
RPE1,UBL5,126,12.2836,1.5483,2234,0.0897,0.4596
RPE1,UBQLN4,48,5.7079,0.7195,1,0.2272,0.2298
RPE1,UBR4,73,5.7189,0.7208,6,0.0293,0.1051
RPE1,UBR5,105,4.4294,0.5583,7,0.0425,0.0526
RPE1,UBTF,297,2.3202,0.2924,8,0.6866,0.0590
RPE1,UFL1,115,3.9197,0.4941,15,0.0656,0.2762
RPE1,UFM1,44,6.5285,0.8229,9,0.0251,0.2419
RPE1,UNC45A,56,4.3604,0.5496,1,0.7285,0.0368
RPE1,UNC50,32,6.3098,0.7953,1,0.0000,0.0595
RPE1,UPF1,46,16.2289,2.0456,1164,0.0000,0.4954
RPE1,UPF2,113,9.7437,1.2281,911,0.2076,0.6102
RPE1,UPF3A,33,6.8822,0.8675,4,0.0537,0.0519
RPE1,UQCC2,8,14.8467,1.8714,0,0.0000,0.1468
RPE1,UQCRB,119,3.7917,0.4779,11,0.1978,0.2062
RPE1,UQCRC1,94,2.5472,0.3211,1,0.4186,0.0830
RPE1,UQCRC2,68,4.0591,0.5116,1,0.0119,0.1179
RPE1,UQCRFS1,32,9.9343,1.2522,20,0.0588,0.2735
RPE1,UQCRH,51,4.7704,0.6013,3,0.1408,0.0729
RPE1,UQCRQ,66,5.6257,0.7091,7,0.0891,0.2194
RPE1,URB1,27,14.3190,1.8048,35,0.0000,0.1236
RPE1,URB2,40,13.3528,1.6831,68,,0.2421
RPE1,URI1,86,7.8745,0.9925,200,0.0755,0.3969
RPE1,URM1,69,7.9656,1.0040,76,0.1150,0.2821
