group,cell_type,perturbation,is_vehicle,product_name,dose,target,pathway,n_cells,total_umi
K562|PFI-1 (PF-6405761)__100.0,K562,PFI-1 (PF-6405761)__100.0,False,PFI-1 (PF-6405761),100.0,Epigenetic Reader Domain,Epigenetics,246,280212
K562|PFI-1 (PF-6405761)__1000.0,K562,PFI-1 (PF-6405761)__1000.0,False,PFI-1 (PF-6405761),1000.0,Epigenetic Reader Domain,Epigenetics,199,233205
K562|PFI-1 (PF-6405761)__10000.0,K562,PFI-1 (PF-6405761)__10000.0,False,PFI-1 (PF-6405761),10000.0,Epigenetic Reader Domain,Epigenetics,113,105431
K562|PHA-680632__10.0,K562,PHA-680632__10.0,False,PHA-680632,10.0,Aurora Kinase,Cell Cycle,209,287573
K562|PHA-680632__100.0,K562,PHA-680632__100.0,False,PHA-680632,100.0,Aurora Kinase,Cell Cycle,193,239736
K562|PHA-680632__1000.0,K562,PHA-680632__1000.0,False,PHA-680632,1000.0,Aurora Kinase,Cell Cycle,146,249009
K562|PHA-680632__10000.0,K562,PHA-680632__10000.0,False,PHA-680632,10000.0,Aurora Kinase,Cell Cycle,98,124956
K562|PJ34__10.0,K562,PJ34__10.0,False,PJ34,10.0,PARP,DNA Damage,249,311640
K562|PJ34__100.0,K562,PJ34__100.0,False,PJ34,100.0,PARP,DNA Damage,232,274819
K562|PJ34__1000.0,K562,PJ34__1000.0,False,PJ34,1000.0,PARP,DNA Damage,222,266056
K562|PJ34__10000.0,K562,PJ34__10000.0,False,PJ34,10000.0,PARP,DNA Damage,175,228097
K562|Panobinostat (LBH589)__10.0,K562,Panobinostat (LBH589)__10.0,False,Panobinostat (LBH589),10.0,HDAC,Epigenetics,146,146792
K562|Panobinostat (LBH589)__100.0,K562,Panobinostat (LBH589)__100.0,False,Panobinostat (LBH589),100.0,HDAC,Epigenetics,83,76272
K562|Panobinostat (LBH589)__1000.0,K562,Panobinostat (LBH589)__1000.0,False,Panobinostat (LBH589),1000.0,HDAC,Epigenetics,65,63857
K562|Panobinostat (LBH589)__10000.0,K562,Panobinostat (LBH589)__10000.0,False,Panobinostat (LBH589),10000.0,HDAC,Epigenetics,63,65463
"K562|Patupilone (EPO906, Epothilone B)__10.0",K562,"Patupilone (EPO906, Epothilone B)__10.0",False,"Patupilone (EPO906, Epothilone B)",10.0,Microtubule Associated,Cytoskeletal Signaling,53,60625
"K562|Patupilone (EPO906, Epothilone B)__100.0",K562,"Patupilone (EPO906, Epothilone B)__100.0",False,"Patupilone (EPO906, Epothilone B)",100.0,Microtubule Associated,Cytoskeletal Signaling,53,78438
"K562|Patupilone (EPO906, Epothilone B)__1000.0",K562,"Patupilone (EPO906, Epothilone B)__1000.0",False,"Patupilone (EPO906, Epothilone B)",1000.0,Microtubule Associated,Cytoskeletal Signaling,79,113629
"K562|Patupilone (EPO906, Epothilone B)__10000.0",K562,"Patupilone (EPO906, Epothilone B)__10000.0",False,"Patupilone (EPO906, Epothilone B)",10000.0,Microtubule Associated,Cytoskeletal Signaling,60,89115
K562|Pelitinib (EKB-569)__10.0,K562,Pelitinib (EKB-569)__10.0,False,Pelitinib (EKB-569),10.0,EGFR,Protein Tyrosine Kinase,225,311970
K562|Pelitinib (EKB-569)__100.0,K562,Pelitinib (EKB-569)__100.0,False,Pelitinib (EKB-569),100.0,EGFR,Protein Tyrosine Kinase,227,294325
K562|Pelitinib (EKB-569)__1000.0,K562,Pelitinib (EKB-569)__1000.0,False,Pelitinib (EKB-569),1000.0,EGFR,Protein Tyrosine Kinase,210,243362
K562|Pelitinib (EKB-569)__10000.0,K562,Pelitinib (EKB-569)__10000.0,False,Pelitinib (EKB-569),10000.0,EGFR,Protein Tyrosine Kinase,91,106297
K562|Pirarubicin__10.0,K562,Pirarubicin__10.0,False,Pirarubicin,10.0,Topoisomerase,DNA Damage,177,226173
K562|Pirarubicin__100.0,K562,Pirarubicin__100.0,False,Pirarubicin,100.0,Topoisomerase,DNA Damage,186,272849
K562|Pirarubicin__1000.0,K562,Pirarubicin__1000.0,False,Pirarubicin,1000.0,Topoisomerase,DNA Damage,180,327634
K562|Pirarubicin__10000.0,K562,Pirarubicin__10000.0,False,Pirarubicin,10000.0,Topoisomerase,DNA Damage,149,247439
K562|Pracinostat (SB939)__10.0,K562,Pracinostat (SB939)__10.0,False,Pracinostat (SB939),10.0,HDAC,Cytoskeletal Signaling,229,292103
K562|Pracinostat (SB939)__100.0,K562,Pracinostat (SB939)__100.0,False,Pracinostat (SB939),100.0,HDAC,Cytoskeletal Signaling,177,171311
K562|Pracinostat (SB939)__1000.0,K562,Pracinostat (SB939)__1000.0,False,Pracinostat (SB939),1000.0,HDAC,Cytoskeletal Signaling,105,112656
K562|Pracinostat (SB939)__10000.0,K562,Pracinostat (SB939)__10000.0,False,Pracinostat (SB939),10000.0,HDAC,Cytoskeletal Signaling,76,84411
K562|Prednisone __10.0,K562,Prednisone __10.0,False,Prednisone ,10.0,"Glucocorticoid Receptor,Immunology & Inflammation related",Endocrinology & Hormones,220,315377
K562|Prednisone __100.0,K562,Prednisone __100.0,False,Prednisone ,100.0,"Glucocorticoid Receptor,Immunology & Inflammation related",Endocrinology & Hormones,213,281071
K562|Prednisone __1000.0,K562,Prednisone __1000.0,False,Prednisone ,1000.0,"Glucocorticoid Receptor,Immunology & Inflammation related",Endocrinology & Hormones,245,350496
K562|Prednisone __10000.0,K562,Prednisone __10000.0,False,Prednisone ,10000.0,"Glucocorticoid Receptor,Immunology & Inflammation related",Endocrinology & Hormones,233,301751
K562|Quercetin__10.0,K562,Quercetin__10.0,False,Quercetin,10.0,"Src,Sirtuin,PKC,PI3K",Epigenetics,198,240027
K562|Quercetin__100.0,K562,Quercetin__100.0,False,Quercetin,100.0,"Src,Sirtuin,PKC,PI3K",Epigenetics,211,277434
K562|Quercetin__1000.0,K562,Quercetin__1000.0,False,Quercetin,1000.0,"Src,Sirtuin,PKC,PI3K",Epigenetics,207,253588
K562|Quercetin__10000.0,K562,Quercetin__10000.0,False,Quercetin,10000.0,"Src,Sirtuin,PKC,PI3K",Epigenetics,165,206351
K562|Quisinostat (JNJ-26481585) 2HCl__10.0,K562,Quisinostat (JNJ-26481585) 2HCl__10.0,False,Quisinostat (JNJ-26481585) 2HCl,10.0,HDAC,Epigenetics,104,103114
K562|Quisinostat (JNJ-26481585) 2HCl__100.0,K562,Quisinostat (JNJ-26481585) 2HCl__100.0,False,Quisinostat (JNJ-26481585) 2HCl,100.0,HDAC,Epigenetics,103,105730
K562|Quisinostat (JNJ-26481585) 2HCl__1000.0,K562,Quisinostat (JNJ-26481585) 2HCl__1000.0,False,Quisinostat (JNJ-26481585) 2HCl,1000.0,HDAC,Epigenetics,76,81583
K562|Quisinostat (JNJ-26481585) 2HCl__10000.0,K562,Quisinostat (JNJ-26481585) 2HCl__10000.0,False,Quisinostat (JNJ-26481585) 2HCl,10000.0,HDAC,Epigenetics,76,69310
K562|RG108__10.0,K562,RG108__10.0,False,RG108,10.0,DNA Methyltransferase,Epigenetics,229,256613
K562|RG108__100.0,K562,RG108__100.0,False,RG108,100.0,DNA Methyltransferase,Epigenetics,213,256086
K562|RG108__1000.0,K562,RG108__1000.0,False,RG108,1000.0,DNA Methyltransferase,Epigenetics,205,258612
K562|RG108__10000.0,K562,RG108__10000.0,False,RG108,10000.0,DNA Methyltransferase,Epigenetics,197,249389
K562|Raltitrexed__10.0,K562,Raltitrexed__10.0,False,Raltitrexed,10.0,DNA/RNA Synthesis,DNA Damage,152,226607
K562|Raltitrexed__100.0,K562,Raltitrexed__100.0,False,Raltitrexed,100.0,DNA/RNA Synthesis,DNA Damage,175,278355
K562|Raltitrexed__1000.0,K562,Raltitrexed__1000.0,False,Raltitrexed,1000.0,DNA/RNA Synthesis,DNA Damage,177,262273
K562|Raltitrexed__10000.0,K562,Raltitrexed__10000.0,False,Raltitrexed,10000.0,DNA/RNA Synthesis,DNA Damage,186,322310
K562|Ramelteon__10.0,K562,Ramelteon__10.0,False,Ramelteon,10.0,MT Receptor,GPCR & G Protein,224,302431
K562|Ramelteon__100.0,K562,Ramelteon__100.0,False,Ramelteon,100.0,MT Receptor,GPCR & G Protein,250,344587
K562|Ramelteon__1000.0,K562,Ramelteon__1000.0,False,Ramelteon,1000.0,MT Receptor,GPCR & G Protein,260,363101
K562|Ramelteon__10000.0,K562,Ramelteon__10000.0,False,Ramelteon,10000.0,MT Receptor,GPCR & G Protein,249,342023
K562|Regorafenib (BAY 73-4506)__10.0,K562,Regorafenib (BAY 73-4506)__10.0,False,Regorafenib (BAY 73-4506),10.0,"c-RET,VEGFR",Protein Tyrosine Kinase,155,198840
K562|Regorafenib (BAY 73-4506)__100.0,K562,Regorafenib (BAY 73-4506)__100.0,False,Regorafenib (BAY 73-4506),100.0,"c-RET,VEGFR",Protein Tyrosine Kinase,206,248274
K562|Regorafenib (BAY 73-4506)__1000.0,K562,Regorafenib (BAY 73-4506)__1000.0,False,Regorafenib (BAY 73-4506),1000.0,"c-RET,VEGFR",Protein Tyrosine Kinase,232,293312
K562|Regorafenib (BAY 73-4506)__10000.0,K562,Regorafenib (BAY 73-4506)__10000.0,False,Regorafenib (BAY 73-4506),10000.0,"c-RET,VEGFR",Protein Tyrosine Kinase,81,79124
K562|Resminostat__10.0,K562,Resminostat__10.0,False,Resminostat,10.0,HDAC,Epigenetics,239,335434
K562|Resminostat__100.0,K562,Resminostat__100.0,False,Resminostat,100.0,HDAC,Epigenetics,200,233590
K562|Resminostat__1000.0,K562,Resminostat__1000.0,False,Resminostat,1000.0,HDAC,Epigenetics,176,214067
K562|Resminostat__10000.0,K562,Resminostat__10000.0,False,Resminostat,10000.0,HDAC,Epigenetics,106,109127
K562|Resveratrol__10.0,K562,Resveratrol__10.0,False,Resveratrol,10.0,"Autophagy,Sirtuin",Epigenetics,194,255348
K562|Resveratrol__100.0,K562,Resveratrol__100.0,False,Resveratrol,100.0,"Autophagy,Sirtuin",Epigenetics,207,291266
K562|Resveratrol__1000.0,K562,Resveratrol__1000.0,False,Resveratrol,1000.0,"Autophagy,Sirtuin",Epigenetics,225,279257
K562|Resveratrol__10000.0,K562,Resveratrol__10000.0,False,Resveratrol,10000.0,"Autophagy,Sirtuin",Epigenetics,238,315082
K562|Rigosertib (ON-01910)__10.0,K562,Rigosertib (ON-01910)__10.0,False,Rigosertib (ON-01910),10.0,PLK,Cell Cycle,192,251229
K562|Rigosertib (ON-01910)__100.0,K562,Rigosertib (ON-01910)__100.0,False,Rigosertib (ON-01910),100.0,PLK,Cell Cycle,153,238242
K562|Rigosertib (ON-01910)__1000.0,K562,Rigosertib (ON-01910)__1000.0,False,Rigosertib (ON-01910),1000.0,PLK,Cell Cycle,57,77781
K562|Rigosertib (ON-01910)__10000.0,K562,Rigosertib (ON-01910)__10000.0,False,Rigosertib (ON-01910),10000.0,PLK,Cell Cycle,45,60610
"K562|Roscovitine (Seliciclib,CYC202)__10.0",K562,"Roscovitine (Seliciclib,CYC202)__10.0",False,"Roscovitine (Seliciclib,CYC202)",10.0,CDK,Cell Cycle,223,289106
"K562|Roscovitine (Seliciclib,CYC202)__100.0",K562,"Roscovitine (Seliciclib,CYC202)__100.0",False,"Roscovitine (Seliciclib,CYC202)",100.0,CDK,Cell Cycle,236,332155
"K562|Roscovitine (Seliciclib,CYC202)__1000.0",K562,"Roscovitine (Seliciclib,CYC202)__1000.0",False,"Roscovitine (Seliciclib,CYC202)",1000.0,CDK,Cell Cycle,250,324459
"K562|Roscovitine (Seliciclib,CYC202)__10000.0",K562,"Roscovitine (Seliciclib,CYC202)__10000.0",False,"Roscovitine (Seliciclib,CYC202)",10000.0,CDK,Cell Cycle,264,342651
K562|Roxadustat (FG-4592)__10.0,K562,Roxadustat (FG-4592)__10.0,False,Roxadustat (FG-4592),10.0,HIF,Angiogenesis,185,236495
K562|Roxadustat (FG-4592)__100.0,K562,Roxadustat (FG-4592)__100.0,False,Roxadustat (FG-4592),100.0,HIF,Angiogenesis,172,191930
K562|Roxadustat (FG-4592)__1000.0,K562,Roxadustat (FG-4592)__1000.0,False,Roxadustat (FG-4592),1000.0,HIF,Angiogenesis,225,279796
K562|Roxadustat (FG-4592)__10000.0,K562,Roxadustat (FG-4592)__10000.0,False,Roxadustat (FG-4592),10000.0,HIF,Angiogenesis,239,299492
"K562|Rucaparib (AG-014699,PF-01367338) phosphate__10.0",K562,"Rucaparib (AG-014699,PF-01367338) phosphate__10.0",False,"Rucaparib (AG-014699,PF-01367338) phosphate",10.0,PARP,DNA Damage,269,340874
"K562|Rucaparib (AG-014699,PF-01367338) phosphate__100.0",K562,"Rucaparib (AG-014699,PF-01367338) phosphate__100.0",False,"Rucaparib (AG-014699,PF-01367338) phosphate",100.0,PARP,DNA Damage,179,216762
"K562|Rucaparib (AG-014699,PF-01367338) phosphate__1000.0",K562,"Rucaparib (AG-014699,PF-01367338) phosphate__1000.0",False,"Rucaparib (AG-014699,PF-01367338) phosphate",1000.0,PARP,DNA Damage,156,221317
"K562|Rucaparib (AG-014699,PF-01367338) phosphate__10000.0",K562,"Rucaparib (AG-014699,PF-01367338) phosphate__10000.0",False,"Rucaparib (AG-014699,PF-01367338) phosphate",10000.0,PARP,DNA Damage,201,259349
K562|Ruxolitinib (INCB018424)__10.0,K562,Ruxolitinib (INCB018424)__10.0,False,Ruxolitinib (INCB018424),10.0,JAK,JAK/STAT,208,248731
K562|Ruxolitinib (INCB018424)__100.0,K562,Ruxolitinib (INCB018424)__100.0,False,Ruxolitinib (INCB018424),100.0,JAK,JAK/STAT,199,236711
K562|Ruxolitinib (INCB018424)__1000.0,K562,Ruxolitinib (INCB018424)__1000.0,False,Ruxolitinib (INCB018424),1000.0,JAK,JAK/STAT,175,197913
K562|Ruxolitinib (INCB018424)__10000.0,K562,Ruxolitinib (INCB018424)__10000.0,False,Ruxolitinib (INCB018424),10000.0,JAK,JAK/STAT,236,322931
K562|S-Ruxolitinib (INCB018424)__10.0,K562,S-Ruxolitinib (INCB018424)__10.0,False,S-Ruxolitinib (INCB018424),10.0,JAK,JAK/STAT,207,245446
K562|S-Ruxolitinib (INCB018424)__100.0,K562,S-Ruxolitinib (INCB018424)__100.0,False,S-Ruxolitinib (INCB018424),100.0,JAK,JAK/STAT,187,246959
K562|S-Ruxolitinib (INCB018424)__1000.0,K562,S-Ruxolitinib (INCB018424)__1000.0,False,S-Ruxolitinib (INCB018424),1000.0,JAK,JAK/STAT,195,229276
K562|S-Ruxolitinib (INCB018424)__10000.0,K562,S-Ruxolitinib (INCB018424)__10000.0,False,S-Ruxolitinib (INCB018424),10000.0,JAK,JAK/STAT,213,264630
K562|S3I-201__10.0,K562,S3I-201__10.0,False,S3I-201,10.0,STAT,JAK/STAT,261,357739
K562|S3I-201__100.0,K562,S3I-201__100.0,False,S3I-201,100.0,STAT,JAK/STAT,243,349575
K562|S3I-201__1000.0,K562,S3I-201__1000.0,False,S3I-201,1000.0,STAT,JAK/STAT,265,343826
K562|S3I-201__10000.0,K562,S3I-201__10000.0,False,S3I-201,10000.0,STAT,JAK/STAT,269,358822
K562|SB431542__10.0,K562,SB431542__10.0,False,SB431542,10.0,TGF-beta/Smad,TGF-beta/Smad,201,264193
K562|SB431542__100.0,K562,SB431542__100.0,False,SB431542,100.0,TGF-beta/Smad,TGF-beta/Smad,191,236661
K562|SB431542__1000.0,K562,SB431542__1000.0,False,SB431542,1000.0,TGF-beta/Smad,TGF-beta/Smad,214,283054
K562|SB431542__10000.0,K562,SB431542__10000.0,False,SB431542,10000.0,TGF-beta/Smad,TGF-beta/Smad,288,364602
K562|SGI-1776 free base__10.0,K562,SGI-1776 free base__10.0,False,SGI-1776 free base,10.0,Pim,JAK/STAT,209,266643
K562|SGI-1776 free base__100.0,K562,SGI-1776 free base__100.0,False,SGI-1776 free base,100.0,Pim,JAK/STAT,231,324795
K562|SGI-1776 free base__1000.0,K562,SGI-1776 free base__1000.0,False,SGI-1776 free base,1000.0,Pim,JAK/STAT,192,240815
K562|SGI-1776 free base__10000.0,K562,SGI-1776 free base__10000.0,False,SGI-1776 free base,10000.0,Pim,JAK/STAT,45,53193
K562|SL-327__10.0,K562,SL-327__10.0,False,SL-327,10.0,MEK,MAPK,189,247729
K562|SL-327__100.0,K562,SL-327__100.0,False,SL-327,100.0,MEK,MAPK,189,231527
K562|SL-327__1000.0,K562,SL-327__1000.0,False,SL-327,1000.0,MEK,MAPK,218,253593
K562|SL-327__10000.0,K562,SL-327__10000.0,False,SL-327,10000.0,MEK,MAPK,213,265451
K562|SNS-314__10.0,K562,SNS-314__10.0,False,SNS-314,10.0,Aurora Kinase,Cell Cycle,169,351602
K562|SNS-314__100.0,K562,SNS-314__100.0,False,SNS-314,100.0,Aurora Kinase,Cell Cycle,158,353486
K562|SNS-314__1000.0,K562,SNS-314__1000.0,False,SNS-314,1000.0,Aurora Kinase,Cell Cycle,196,425019
K562|SNS-314__10000.0,K562,SNS-314__10000.0,False,SNS-314,10000.0,Aurora Kinase,Cell Cycle,156,266600
K562|SRT1720 HCl__10.0,K562,SRT1720 HCl__10.0,False,SRT1720 HCl,10.0,Sirtuin,Epigenetics,230,319582
K562|SRT1720 HCl__100.0,K562,SRT1720 HCl__100.0,False,SRT1720 HCl,100.0,Sirtuin,Epigenetics,227,310510
K562|SRT1720 HCl__1000.0,K562,SRT1720 HCl__1000.0,False,SRT1720 HCl,1000.0,Sirtuin,Epigenetics,268,336828
K562|SRT1720 HCl__10000.0,K562,SRT1720 HCl__10000.0,False,SRT1720 HCl,10000.0,Sirtuin,Epigenetics,68,168536
K562|SRT2104 (GSK2245840)__10.0,K562,SRT2104 (GSK2245840)__10.0,False,SRT2104 (GSK2245840),10.0,Sirtuin,DNA Damage,246,312666
K562|SRT2104 (GSK2245840)__100.0,K562,SRT2104 (GSK2245840)__100.0,False,SRT2104 (GSK2245840),100.0,Sirtuin,DNA Damage,245,287235
K562|SRT2104 (GSK2245840)__1000.0,K562,SRT2104 (GSK2245840)__1000.0,False,SRT2104 (GSK2245840),1000.0,Sirtuin,DNA Damage,250,306021
K562|SRT2104 (GSK2245840)__10000.0,K562,SRT2104 (GSK2245840)__10000.0,False,SRT2104 (GSK2245840),10000.0,Sirtuin,DNA Damage,230,275490
K562|SRT3025 HCl__10.0,K562,SRT3025 HCl__10.0,False,SRT3025 HCl,10.0,Sirtuin,DNA Damage,222,294537
K562|SRT3025 HCl__100.0,K562,SRT3025 HCl__100.0,False,SRT3025 HCl,100.0,Sirtuin,DNA Damage,196,241428
K562|SRT3025 HCl__1000.0,K562,SRT3025 HCl__1000.0,False,SRT3025 HCl,1000.0,Sirtuin,DNA Damage,182,219017
K562|SRT3025 HCl__10000.0,K562,SRT3025 HCl__10000.0,False,SRT3025 HCl,10000.0,Sirtuin,DNA Damage,179,223619
K562|Selisistat (EX 527)__10.0,K562,Selisistat (EX 527)__10.0,False,Selisistat (EX 527),10.0,Sirtuin,Epigenetics,224,326549
K562|Selisistat (EX 527)__100.0,K562,Selisistat (EX 527)__100.0,False,Selisistat (EX 527),100.0,Sirtuin,Epigenetics,215,270268
K562|Selisistat (EX 527)__1000.0,K562,Selisistat (EX 527)__1000.0,False,Selisistat (EX 527),1000.0,Sirtuin,Epigenetics,190,233595
K562|Selisistat (EX 527)__10000.0,K562,Selisistat (EX 527)__10000.0,False,Selisistat (EX 527),10000.0,Sirtuin,Epigenetics,243,304687
K562|Sirtinol__10.0,K562,Sirtinol__10.0,False,Sirtinol,10.0,Sirtuin,Epigenetics,229,279699
K562|Sirtinol__100.0,K562,Sirtinol__100.0,False,Sirtinol,100.0,Sirtuin,Epigenetics,213,250019
K562|Sirtinol__1000.0,K562,Sirtinol__1000.0,False,Sirtinol,1000.0,Sirtuin,Epigenetics,210,250237
K562|Sirtinol__10000.0,K562,Sirtinol__10000.0,False,Sirtinol,10000.0,Sirtuin,Epigenetics,251,320303
K562|Sodium Phenylbutyrate__10.0,K562,Sodium Phenylbutyrate__10.0,False,Sodium Phenylbutyrate,10.0,HDAC,DNA Damage,194,281873
K562|Sodium Phenylbutyrate__100.0,K562,Sodium Phenylbutyrate__100.0,False,Sodium Phenylbutyrate,100.0,HDAC,DNA Damage,195,231889
K562|Sodium Phenylbutyrate__1000.0,K562,Sodium Phenylbutyrate__1000.0,False,Sodium Phenylbutyrate,1000.0,HDAC,DNA Damage,216,266568
K562|Sodium Phenylbutyrate__10000.0,K562,Sodium Phenylbutyrate__10000.0,False,Sodium Phenylbutyrate,10000.0,HDAC,DNA Damage,186,207951
K562|Sorafenib Tosylate__10.0,K562,Sorafenib Tosylate__10.0,False,Sorafenib Tosylate,10.0,"PDGFR,Raf,VEGFR",MAPK,217,285879
K562|Sorafenib Tosylate__100.0,K562,Sorafenib Tosylate__100.0,False,Sorafenib Tosylate,100.0,"PDGFR,Raf,VEGFR",MAPK,240,330463
K562|Sorafenib Tosylate__1000.0,K562,Sorafenib Tosylate__1000.0,False,Sorafenib Tosylate,1000.0,"PDGFR,Raf,VEGFR",MAPK,227,287196
K562|Sorafenib Tosylate__10000.0,K562,Sorafenib Tosylate__10000.0,False,Sorafenib Tosylate,10000.0,"PDGFR,Raf,VEGFR",MAPK,102,107487
K562|Streptozotocin (STZ)__10.0,K562,Streptozotocin (STZ)__10.0,False,Streptozotocin (STZ),10.0,DNA alkylator,DNA Damage,236,289085
K562|Streptozotocin (STZ)__100.0,K562,Streptozotocin (STZ)__100.0,False,Streptozotocin (STZ),100.0,DNA alkylator,DNA Damage,256,312411
K562|Streptozotocin (STZ)__1000.0,K562,Streptozotocin (STZ)__1000.0,False,Streptozotocin (STZ),1000.0,DNA alkylator,DNA Damage,218,303454
K562|Streptozotocin (STZ)__10000.0,K562,Streptozotocin (STZ)__10000.0,False,Streptozotocin (STZ),10000.0,DNA alkylator,DNA Damage,249,314897
K562|TAK-901__10.0,K562,TAK-901__10.0,False,TAK-901,10.0,Aurora Kinase,Cell Cycle,198,281668
K562|TAK-901__100.0,K562,TAK-901__100.0,False,TAK-901,100.0,Aurora Kinase,Cell Cycle,172,303327
K562|TAK-901__1000.0,K562,TAK-901__1000.0,False,TAK-901,1000.0,Aurora Kinase,Cell Cycle,111,150210
K562|TAK-901__10000.0,K562,TAK-901__10000.0,False,TAK-901,10000.0,Aurora Kinase,Cell Cycle,63,70900
K562|TG101209__10.0,K562,TG101209__10.0,False,TG101209,10.0,"c-RET,FLT3,JAK",JAK/STAT,226,277260
K562|TG101209__100.0,K562,TG101209__100.0,False,TG101209,100.0,"c-RET,FLT3,JAK",JAK/STAT,218,285664
K562|TG101209__1000.0,K562,TG101209__1000.0,False,TG101209,1000.0,"c-RET,FLT3,JAK",JAK/STAT,161,195239
K562|TG101209__10000.0,K562,TG101209__10000.0,False,TG101209,10000.0,"c-RET,FLT3,JAK",JAK/STAT,64,77663
K562|TGX-221__10.0,K562,TGX-221__10.0,False,TGX-221,10.0,PI3K,PI3K/Akt/mTOR,218,296139
K562|TGX-221__100.0,K562,TGX-221__100.0,False,TGX-221,100.0,PI3K,PI3K/Akt/mTOR,234,291119
K562|TGX-221__1000.0,K562,TGX-221__1000.0,False,TGX-221,1000.0,PI3K,PI3K/Akt/mTOR,226,274217
K562|TGX-221__10000.0,K562,TGX-221__10000.0,False,TGX-221,10000.0,PI3K,PI3K/Akt/mTOR,216,265325
K562|TMP195__10.0,K562,TMP195__10.0,False,TMP195,10.0,HDAC,Epigenetics,206,334362
K562|TMP195__100.0,K562,TMP195__100.0,False,TMP195,100.0,HDAC,Epigenetics,167,209451
K562|TMP195__1000.0,K562,TMP195__1000.0,False,TMP195,1000.0,HDAC,Epigenetics,170,206457
K562|TMP195__10000.0,K562,TMP195__10000.0,False,TMP195,10000.0,HDAC,Epigenetics,198,276038
K562|Tacedinaline (CI994)__10.0,K562,Tacedinaline (CI994)__10.0,False,Tacedinaline (CI994),10.0,HDAC,Epigenetics,247,303493
K562|Tacedinaline (CI994)__100.0,K562,Tacedinaline (CI994)__100.0,False,Tacedinaline (CI994),100.0,HDAC,Epigenetics,188,223845
K562|Tacedinaline (CI994)__1000.0,K562,Tacedinaline (CI994)__1000.0,False,Tacedinaline (CI994),1000.0,HDAC,Epigenetics,217,241232
K562|Tacedinaline (CI994)__10000.0,K562,Tacedinaline (CI994)__10000.0,False,Tacedinaline (CI994),10000.0,HDAC,Epigenetics,134,136204
K562|Tanespimycin (17-AAG)__10.0,K562,Tanespimycin (17-AAG)__10.0,False,Tanespimycin (17-AAG),10.0,HSP (e.g. HSP90),Cytoskeletal Signaling,225,287515
K562|Tanespimycin (17-AAG)__100.0,K562,Tanespimycin (17-AAG)__100.0,False,Tanespimycin (17-AAG),100.0,HSP (e.g. HSP90),Cytoskeletal Signaling,177,199195
K562|Tanespimycin (17-AAG)__1000.0,K562,Tanespimycin (17-AAG)__1000.0,False,Tanespimycin (17-AAG),1000.0,HSP (e.g. HSP90),Cytoskeletal Signaling,131,139272
K562|Tanespimycin (17-AAG)__10000.0,K562,Tanespimycin (17-AAG)__10000.0,False,Tanespimycin (17-AAG),10000.0,HSP (e.g. HSP90),Cytoskeletal Signaling,88,98429
K562|Tazemetostat (EPZ-6438)__10.0,K562,Tazemetostat (EPZ-6438)__10.0,False,Tazemetostat (EPZ-6438),10.0,Histone Methyltransferase,Epigenetics,235,305147
K562|Tazemetostat (EPZ-6438)__100.0,K562,Tazemetostat (EPZ-6438)__100.0,False,Tazemetostat (EPZ-6438),100.0,Histone Methyltransferase,Epigenetics,263,313027
K562|Tazemetostat (EPZ-6438)__1000.0,K562,Tazemetostat (EPZ-6438)__1000.0,False,Tazemetostat (EPZ-6438),1000.0,Histone Methyltransferase,Epigenetics,232,300487
K562|Tazemetostat (EPZ-6438)__10000.0,K562,Tazemetostat (EPZ-6438)__10000.0,False,Tazemetostat (EPZ-6438),10000.0,Histone Methyltransferase,Epigenetics,219,284184
"K562|Temsirolimus (CCI-779, NSC 683864)__10.0",K562,"Temsirolimus (CCI-779, NSC 683864)__10.0",False,"Temsirolimus (CCI-779, NSC 683864)",10.0,mTOR,PI3K/Akt/mTOR,159,188959
"K562|Temsirolimus (CCI-779, NSC 683864)__100.0",K562,"Temsirolimus (CCI-779, NSC 683864)__100.0",False,"Temsirolimus (CCI-779, NSC 683864)",100.0,mTOR,PI3K/Akt/mTOR,175,216105
"K562|Temsirolimus (CCI-779, NSC 683864)__1000.0",K562,"Temsirolimus (CCI-779, NSC 683864)__1000.0",False,"Temsirolimus (CCI-779, NSC 683864)",1000.0,mTOR,PI3K/Akt/mTOR,192,234763
"K562|Temsirolimus (CCI-779, NSC 683864)__10000.0",K562,"Temsirolimus (CCI-779, NSC 683864)__10000.0",False,"Temsirolimus (CCI-779, NSC 683864)",10000.0,mTOR,PI3K/Akt/mTOR,118,131829
K562|Thalidomide__10.0,K562,Thalidomide__10.0,False,Thalidomide,10.0,"E3 Ligase ,TNF-alpha",Ubiquitin,200,243761
K562|Thalidomide__100.0,K562,Thalidomide__100.0,False,Thalidomide,100.0,"E3 Ligase ,TNF-alpha",Ubiquitin,210,244724
K562|Thalidomide__1000.0,K562,Thalidomide__1000.0,False,Thalidomide,1000.0,"E3 Ligase ,TNF-alpha",Ubiquitin,225,303645
K562|Thalidomide__10000.0,K562,Thalidomide__10000.0,False,Thalidomide,10000.0,"E3 Ligase ,TNF-alpha",Ubiquitin,215,300850
K562|Thiotepa__10.0,K562,Thiotepa__10.0,False,Thiotepa,10.0,Others,Others,231,299864
K562|Thiotepa__100.0,K562,Thiotepa__100.0,False,Thiotepa,100.0,Others,Others,261,326305
K562|Thiotepa__1000.0,K562,Thiotepa__1000.0,False,Thiotepa,1000.0,Others,Others,257,366670
