Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
O00767,SCD,Stearoyl-CoA desaturase,"Endoplasmic reticulum, Membrane",0.04565,0.2399,0.185,Not confident,"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Oxidoreductase",none
Q12788,TBL3,Transducin beta-like protein 3,Nucleus,0.04565,0.15,0.215,Not confident,NA,none
Q86U90,YRDC,Threonylcarbamoyl-AMP synthase,"Cell membrane, Cytoplasm, Membrane, Mitochondrion",0.0456,0.2076,0.213,Not confident,Transferase,none
A0A087WVF3,TBC1D3D,TBC1 domain family member 3D,"Cell membrane, Membrane",0.04553,0.1141,0.139,Not confident,GTPase activation,none
Q504U0,C4orf46,Renal cancer differentiation gene 1 protein,Cytoplasm,0.04553,0.06384,0.031,Not confident,NA,none
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial","Membrane, Mitochondrion, Nucleus",0.04547,0.1959,0.237,Not confident,"DNA-binding, mRNA transport, RNA-binding, Transcription, Transcription regulation, Transport",none
A1L157,TSPAN11,Tetraspanin-11,Membrane,0.04544,0.3845,0.133,Not confident,NA,none
Q9BUR4,WRAP53,Telomerase Cajal body protein 1,"Chromosome, Nucleus, Telomere",0.04538,0.2369,0.202,Not confident,"Chaperone, DNA damage, DNA repair, Host-virus interaction, RNA-binding",none
Q92817,EVPL,Envoplakin,"Cell junction, Cytoplasm, Cytoskeleton",0.04535,0.322,0.101,Not confident,Keratinization,none
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,"Cell membrane, Cytoplasm, Membrane, Nucleus",0.04535,0.2725,0.141,medium,"Calmodulin-binding, Host-virus interaction","['P00533_S1__P46940_S1.pdb', 'P00533_S2__P46940_S3.pdb']"
Q9UJX6,ANAPC2,Anaphase-promoting complex subunit 2,NA,0.04535,0.2517,0.213,Not confident,"Cell cycle, Cell division, Differentiation, Mitosis, Neurogenesis, Ubl conjugation pathway",none
P29353,SHC1,SHC-transforming protein 1,"Cell junction, Cytoplasm, Mitochondrion",0.04535,0.1968,0.118,Not confident,"Angiogenesis, Growth regulation, Host-virus interaction",none
Q9NZT1,CALML5,Calmodulin-like protein 5,NA,0.04535,0.1445,0.161,Not confident,NA,none
Q8NDI1,EHBP1,EH domain-binding protein 1,"Cytoplasm, Endosome, Membrane",0.04532,0.2349,0.135,Not confident,"Endocytosis, Protein transport, Transport",none
Q16517,NNAT,Neuronatin,NA,0.04532,0.0916,0.012,Not confident,Developmental protein,none
P55851,UCP2,Dicarboxylate carrier SLC25A8,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.0453,0.256,0.218,Not confident,Transport,none
Q5HYI8,RABL3,Rab-like protein 3,NA,0.0453,0.2219,0.143,Not confident,NA,none
P05121,SERPINE1,Plasminogen activator inhibitor 1,Secreted,0.0453,0.1753,0.193,Not confident,"Protease inhibitor, Serine protease inhibitor",none
Q9H7Z7,PTGES2,Prostaglandin E synthase 2,"Cytoplasm, Golgi apparatus, Membrane",0.04526,0.4866,0.155,Not confident,"Fatty acid biosynthesis, Fatty acid metabolism, Isomerase, Lipid biosynthesis, Lipid metabolism, Prostaglandin biosynthesis, Prostaglandin metabolism",none
Q01780,EXOSC10,Exosome complex component 10,"Cytoplasm, Exosome, Nucleus",0.0452,0.24,0.223,Not confident,"DNA damage, DNA repair, Exonuclease, Hydrolase, Nonsense-mediated mRNA decay, Nuclease, RNA-binding, rRNA processing",none
Q8NCW5,NAXE,NAD(P)H-hydrate epimerase,"Mitochondrion, Secreted",0.04517,0.3152,0.219,Not confident,"Isomerase, Lipid transport, Transport",none
Q6IQ49,SDE2,Splicing regulator SDE2,"Cytoplasm, Nucleus",0.04517,0.2021,0.173,Not confident,"Cell cycle, Cell division, DNA replication, DNA-binding, Mitosis, mRNA processing, mRNA splicing, Ribosome biogenesis, RNA-binding",none
Q92743,HTRA1,Serine protease HTRA1,"Cell membrane, Cytoplasm, Membrane, Secreted",0.04514,0.583,0.134,Not confident,"Growth factor binding, Hydrolase, Protease, Serine protease",none
Q16637,"SMN1,SMN2",Survival motor neuron protein,"Cell projection, Cytoplasm, Nucleus",0.04514,0.2502,0.175,Not confident,"mRNA processing, mRNA splicing, Neurogenesis, RNA-binding",none
Q9HBH0,RHOF,Rho-related GTP-binding protein RhoF,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane",0.04514,0.1388,0.146,Not confident,NA,none
Q16635,TAFAZZIN,Tafazzin,"Cytoplasm, Membrane, Mitochondrion, Mitochondrion inner membrane, Mitochondrion outer membrane",0.0451,0.4873,0.181,Not confident,"Acyltransferase, Lipid metabolism, Transferase",none
P12955,PEPD,Xaa-Pro dipeptidase,NA,0.0451,0.277,0.187,Not confident,"Collagen degradation, Dipeptidase, Hydrolase, Metalloprotease, Protease",none
P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E,"Cytoplasm, Nucleus",0.0451,0.1951,0.158,Not confident,"Initiation factor, Protein biosynthesis",none
Q9NP31,SH2D2A,SH2 domain-containing protein 2A,Cytoplasm,0.0451,0.09985,0.092,Not confident,"Angiogenesis, Developmental protein, Differentiation",none
P98077,SHC2,SHC-transforming protein 2,NA,0.04504,0.2986,0.124,Not confident,NA,none
O14910,LIN7A,Protein lin-7 homolog A,"Cell junction, Cell membrane, Membrane, Postsynaptic cell membrane, Synapse, Tight junction",0.04504,0.1906,0.097,Not confident,"Exocytosis, Protein transport, Transport",none
Q9NTK1,DEPP1,Protein DEPP1,"Cytoplasm, Mitochondrion, Peroxisome",0.04495,0.05835,0.023,Not confident,Autophagy,none
Q9BSM1,PCGF1,Polycomb group RING finger protein 1,Nucleus,0.04492,0.509,0.125,Not confident,"Repressor, Transcription, Transcription regulation",none
Q13541,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,"Cytoplasm, Nucleus",0.04492,0.1024,0.125,Not confident,"Protein synthesis inhibitor, Translation regulation",none
P50336,PPOX,Protoporphyrinogen oxidase,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.0449,0.1956,0.227,Not confident,"Heme biosynthesis, Oxidoreductase, Porphyrin biosynthesis",none
Q9Y5B9,SUPT16H,FACT complex subunit SPT16,"Chromosome, Nucleus",0.0449,0.168,0.179,Not confident,"DNA damage, DNA repair, DNA replication, Host-virus interaction, Transcription, Transcription regulation",none
P07332,FES,Tyrosine-protein kinase Fes/Fps,"Cell junction, Cell membrane, Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Golgi apparatus, Membrane",0.04486,0.179,0.359,Not confident,"Kinase, Transferase, Tyrosine-protein kinase",none
O95006,OR2F2,Olfactory receptor 2F2,"Cell membrane, Membrane",0.04483,0.162,0.082,Not confident,"G-protein coupled receptor, Olfaction, Receptor, Sensory transduction, Transducer",none
P10644,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,"Cell membrane, Membrane",0.04483,0.1553,0.159,Not confident,NA,none
P30711,GSTT1,Glutathione S-transferase theta-1,Cytoplasm,0.0448,0.0798,0.21,Not confident,Transferase,none
O95394,PGM3,Phosphoacetylglucosamine mutase,NA,0.04477,0.2034,0.209,Not confident,"Carbohydrate metabolism, Isomerase",none
Q9NRH3,TUBG2,Tubulin gamma-2 chain,"Cytoplasm, Cytoskeleton, Microtubule",0.04477,0.1471,0.124,Not confident,NA,none
Q8IV48,ERI1,3'-5' exoribonuclease 1,"Cytoplasm, Nucleus",0.04474,0.426,0.186,Not confident,"Exonuclease, Hydrolase, Nuclease, RNA-binding, RNA-mediated gene silencing, rRNA processing",none
P37268,FDFT1,Squalene synthase,"Endoplasmic reticulum, Membrane",0.04468,0.2196,0.166,Not confident,"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Multifunctional enzyme, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism, Transferase",none
Q06609,RAD51,DNA repair protein RAD51 homolog 1,"Chromosome, Cytoplasm, Cytoskeleton, Mitochondrion, Nucleus",0.04468,0.123,0.179,Not confident,"DNA damage, DNA recombination, DNA repair, DNA-binding",none
Q99728,BARD1,BRCA1-associated RING domain protein 1,Nucleus,0.04465,0.2373,0.131,Not confident,"DNA damage, DNA repair, Transferase, Ubl conjugation pathway",none
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,Cytoplasm,0.04462,0.7324,0.182,Not confident,"Host-virus interaction, Initiation factor, Protein biosynthesis",none
Q9Y365,STARD10,START domain-containing protein 10,"Cell projection, Cilium, Cytoplasm, Flagellum, Membrane",0.04462,0.523,0.142,Not confident,"Lipid transport, Transport",none
Q96GG9,DCUN1D1,DCN1-like protein 1,"Cytoplasm, Nucleus",0.0446,0.1548,0.176,Not confident,Ubl conjugation pathway,none
Q9UQC2,GAB2,GRB2-associated-binding protein 2,"Cell membrane, Cytoplasm, Membrane",0.0446,0.1195,0.083,Not confident,NA,none
Q9H425,C1orf198,Uncharacterized protein C1orf198,Cytoplasm,0.04453,0.1292,0.111,Not confident,NA,none
Q9NQT5,EXOSC3,Exosome complex component RRP40,"Cytoplasm, Exosome, Nucleus",0.0445,0.1871,0.202,Not confident,"RNA-binding, rRNA processing",none
P80188,LCN2,Neutrophil gelatinase-associated lipocalin,"Cytoplasmic vesicle, Secreted",0.0445,0.06964,0.034,Not confident,"Apoptosis, Immunity, Innate immunity, Ion transport, Iron transport, Transport",none
Q7Z7M8,B3GNT8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8","Golgi apparatus, Membrane",0.04446,0.3398,0.152,Not confident,"Glycosyltransferase, Transferase",none
P41221,WNT5A,Protein Wnt-5a,"Extracellular matrix, Secreted",0.04446,0.3064,0.141,Not confident,"Chondrogenesis, Developmental protein, Differentiation, Wnt signaling pathway",none
Q08554,DSC1,Desmocollin-1,"Cell junction, Cell membrane, Membrane",0.04446,0.2888,0.125,Not confident,Cell adhesion,none
Q9BY32,ITPA,Inosine triphosphate pyrophosphatase,Cytoplasm,0.04446,0.1137,0.216,Not confident,"Hydrolase, Nucleotide metabolism",none
P08588,ADRB1,Beta-1 adrenergic receptor,"Cell membrane, Endosome, Membrane",0.04443,0.2966,0.133,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q9UNY4,TTF2,Transcription termination factor 2,"Cytoplasm, Nucleus, Spliceosome",0.04443,0.1548,0.241,Not confident,"DNA-binding, Helicase, Hydrolase, mRNA processing, mRNA splicing, Transcription, Transcription regulation, Transcription termination",none
O14753,OVOL1,Putative transcription factor Ovo-like 1,Nucleus,0.04437,0.684,0.16,Not confident,"DNA-binding, Transcription, Transcription regulation",none
O43929,ORC4,Origin recognition complex subunit 4,Nucleus,0.04437,0.3865,0.209,Not confident,"DNA replication, DNA-binding",none
Q9NRL3,STRN4,Striatin-4,"Cell projection, Cytoplasm, Membrane, Synapse",0.04437,0.1771,0.155,Not confident,Calmodulin-binding,none
Q9NR31,SAR1A,GTP-binding protein SAR1a,"Endoplasmic reticulum, Golgi apparatus",0.04437,0.1387,0.178,Not confident,"ER-Golgi transport, Protein transport, Transport",none
P09327,VIL1,Villin-1,"Cell projection, Cytoplasm, Cytoskeleton",0.04434,0.3088,0.162,Not confident,"Actin capping, Actin-binding, Apoptosis",none
Q9NR61,DLL4,Delta-like protein 4,"Cell membrane, Membrane",0.04434,0.2104,0.16,Not confident,"Angiogenesis, Developmental protein, Differentiation, Neurogenesis, Notch signaling pathway, Sensory transduction, Vision",none
Q4LE39,ARID4B,AT-rich interactive domain-containing protein 4B,"Cytoplasm, Nucleus",0.04434,0.1735,0.168,Not confident,"Chromatin regulator, DNA-binding, Transcription, Transcription regulation",none
O60493,SNX3,Sorting nexin-3,"Cytoplasmic vesicle, Endosome",0.04434,0.07446,0.164,Not confident,"Protein transport, Transport",none
Q8N111,CEND1,Cell cycle exit and neuronal differentiation protein 1,Membrane,0.04425,0.3801,0.027,Not confident,Differentiation,none
P49643,PRIM2,DNA primase large subunit,Primosome,0.04425,0.2332,0.2,Not confident,"DNA replication, DNA-binding",none
Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2,NA,0.04425,0.1854,0.138,Not confident,NA,none
Q8IWY4,SCUBE1,"Signal peptide, CUB and EGF-like domain-containing protein 1","Cell membrane, Membrane, Secreted",0.04422,0.3237,0.172,Not confident,NA,none
Q96K37,SLC35E1,Solute carrier family 35 member E1,Membrane,0.04422,0.303,0.173,Not confident,Transport,none
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,"Cytoplasm, Nucleus",0.04422,0.1584,0.198,Not confident,"Chaperone, Host-virus interaction",none
P05455,SSB,Lupus La protein,Nucleus,0.04422,0.1572,0.184,Not confident,RNA-binding,none
Q68DV7,RNF43,E3 ubiquitin-protein ligase RNF43,"Cell membrane, Endoplasmic reticulum, Membrane, Nucleus",0.0442,0.2983,0.064,Not confident,"Developmental protein, Transferase, Ubl conjugation pathway, Wnt signaling pathway",none
Q8TEQ0,SNX29,Sorting nexin-29,NA,0.0442,0.1654,0.13,Not confident,NA,none
Q9H0C2,SLC25A31,ADP/ATP translocase 4,"Cell membrane, Cell projection, Cilium, Flagellum, Membrane, Mitochondrion, Mitochondrion inner membrane",0.04416,0.3535,0.149,Not confident,"Antiport, Differentiation, Spermatogenesis, Transport",none
P30281,CCND3,G1/S-specific cyclin-D3,"Cytoplasm, Nucleus",0.04416,0.277,0.161,Not confident,"Cell cycle, Cell division, Cyclin, Transcription, Transcription regulation",none
Q86T82,USP37,Ubiquitin carboxyl-terminal hydrolase 37,"Chromosome, Nucleus",0.04416,0.1552,0.089,Not confident,"Cell cycle, Cell division, Hydrolase, Mitosis, Protease, Thiol protease, Ubl conjugation pathway",none
Q63HR2,TNS2,Tensin-2,"Cell junction, Cell membrane, Cytoplasm, Membrane",0.04416,0.1537,0.096,Not confident,"Hydrolase, Protein phosphatase",none
Q9UBH6,XPR1,Solute carrier family 53 member 1,"Cell membrane, Membrane",0.04413,0.2164,0.198,Not confident,NA,none
P36542,ATP5F1C,"ATP synthase subunit gamma, mitochondrial","CF(1), Membrane, Mitochondrion, Mitochondrion inner membrane",0.04413,0.1482,0.184,Not confident,"ATP synthesis, Hydrogen ion transport, Ion transport, Transport",none
Q8WTR2,DUSP19,Dual specificity protein phosphatase 19,NA,0.0441,0.1841,0.21,Not confident,"Hydrolase, Protein phosphatase",none
P08962,CD63,CD63 antigen,"Cell membrane, Endosome, Lysosome, Membrane, Secreted",0.0441,0.1578,0.184,Not confident,"Protein transport, Transport",none
P51681,CCR5,C-C chemokine receptor type 5,"Cell membrane, Membrane",0.04407,0.171,0.129,Not confident,"G-protein coupled receptor, Host cell receptor for virus entry, Host-virus interaction, Receptor, Transducer",none
Q71DI3,"H3C15,H3C14,H3C13",Histone H3.2,"Chromosome, Nucleosome core, Nucleus",0.04407,0.0973,0.151,Not confident,DNA-binding,none
Q8NG11,TSPAN14,Tetraspanin-14,"Cell membrane, Membrane",0.04404,0.453,0.141,Not confident,NA,none
Q8IZJ1,UNC5B,Netrin receptor UNC5B,"Cell membrane, Membrane",0.044,0.3467,0.127,Not confident,"Angiogenesis, Apoptosis, Developmental protein, Receptor",none
Q5VTR2,RNF20,E3 ubiquitin-protein ligase BRE1A,Nucleus,0.04398,0.152,0.202,Not confident,"Chromatin regulator, Host-virus interaction, Transferase, Ubl conjugation pathway",none
Q15306,IRF4,Interferon regulatory factor 4,Nucleus,0.04398,0.152,0.08,Not confident,"Activator, DNA-binding, Transcription, Transcription regulation",none
O94813,SLIT2,Slit homolog 2 protein,Secreted,0.04395,0.332,0.196,Not confident,"Chemotaxis, Developmental protein, Differentiation, Heparin-binding, Neurogenesis",none
Q9ULH1,ASAP1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1","Cytoplasm, Golgi apparatus, Membrane",0.04395,0.1666,0.131,Not confident,"Cilium biogenesis/degradation, GTPase activation",none
O94911,ABCA8,ABC-type organic anion transporter ABCA8,"Cell membrane, Membrane",0.0439,0.3352,0.218,Not confident,"Lipid transport, Translocase, Transport",none
Q9NZN3,EHD3,EH domain-containing protein 3,"Cell membrane, Cell projection, Cilium, Endosome, Membrane",0.04388,0.3313,0.119,Not confident,"Cilium biogenesis/degradation, Protein transport, Transport",none
Q9GZM7,TINAGL1,Tubulointerstitial nephritis antigen-like,Secreted,0.04388,0.2125,0.143,Not confident,NA,none
Q96RT8,TUBGCP5,Gamma-tubulin complex component 5,"Cytoplasm, Cytoskeleton, Microtubule",0.04388,0.2015,0.169,Not confident,NA,none
Q92994,BRF1,Transcription factor IIIB 90 kDa subunit,Nucleus,0.04385,0.397,0.204,Not confident,"Activator, Transcription, Transcription regulation",none
O43915,VEGFD,Vascular endothelial growth factor D,Secreted,0.04382,0.1738,0.063,Not confident,"Angiogenesis, Developmental protein, Differentiation, Growth factor, Mitogen",none
Q96EQ8,RNF125,E3 ubiquitin-protein ligase RNF125,"Golgi apparatus, Membrane",0.04382,0.1732,0.135,Not confident,"Adaptive immunity, Immunity, Transferase, Ubl conjugation pathway",none
O60658,PDE8A,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",NA,0.0438,0.2593,0.139,Not confident,Hydrolase,none
Q15438,CYTH1,Cytohesin-1,"Cell junction, Cell membrane, Cytoplasm, Membrane, Tight junction",0.04376,0.274,0.149,Not confident,Guanine-nucleotide releasing factor,none
Q9NR30,DDX21,Nucleolar RNA helicase 2,"Cytoplasm, Mitochondrion, Nucleus",0.04376,0.1885,0.179,Not confident,"Antiviral defense, Helicase, Hydrolase, Immunity, Innate immunity, RNA-binding, rRNA processing, Transcription",none
Q13950,RUNX2,Runt-related transcription factor 2,"Cytoplasm, Nucleus",0.04376,0.1251,0.146,Not confident,"Differentiation, DNA-binding, Transcription, Transcription regulation",none
Q16658,FSCN1,Fascin,"Cell junction, Cell projection, Cytoplasm, Cytoskeleton",0.04373,0.1335,0.115,Not confident,Actin-binding,none
Q14331,FRG1,Protein FRG1,"Cytoplasm, Nucleus, Spliceosome",0.0437,0.406,0.157,Not confident,"Actin-binding, mRNA processing, mRNA splicing, Myogenesis, Ribosome biogenesis, RNA-binding, rRNA processing",none
Q14118,DAG1,Dystroglycan 1,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane, Nucleus, Postsynaptic cell membrane, Secreted, Synapse",0.0437,0.2727,0.144,Not confident,"Host cell receptor for virus entry, Host-virus interaction, Receptor",none
P36957,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial","Mitochondrion, Nucleus",0.0437,0.2312,0.147,Not confident,"Acyltransferase, Transferase, Tricarboxylic acid cycle",none
Q9HBB8,CDHR5,Cadherin-related family member 5,"Cell membrane, Cell projection, Membrane",0.04367,0.3203,0.123,Not confident,Differentiation,none
Q5VZ18,SHE,SH2 domain-containing adapter protein E,NA,0.04367,0.1327,0.09,Not confident,NA,none
P55042,RRAD,GTP-binding protein RAD,"Cell membrane, Membrane",0.04367,0.132,0.184,Not confident,Calmodulin-binding,none
Q7Z5N4,SDK1,Protein sidekick-1,"Cell membrane, Membrane, Synapse",0.04364,0.439,0.143,Not confident,Cell adhesion,none
P25024,CXCR1,C-X-C chemokine receptor type 1,"Cell membrane, Membrane",0.04358,0.3748,0.138,Not confident,"Chemotaxis, G-protein coupled receptor, Receptor, Transducer",none
Q9NYM4,GPR83,G-protein coupled receptor 83,"Cell membrane, Membrane",0.04358,0.3665,0.122,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P60842,EIF4A1,Eukaryotic initiation factor 4A-I,NA,0.04358,0.2201,0.147,Not confident,"Helicase, Host-virus interaction, Hydrolase, Initiation factor, Protein biosynthesis, RNA-binding",none
Q9NRX2,MRPL17,Large ribosomal subunit protein bL17m,Mitochondrion,0.04355,0.3066,0.216,Not confident,"Ribonucleoprotein, Ribosomal protein",none
P47813,EIF1AX,"Eukaryotic translation initiation factor 1A, X-chromosomal",Cytoplasm,0.04352,0.1683,0.177,Not confident,"Host-virus interaction, Initiation factor, Protein biosynthesis, RNA-binding, tRNA-binding",none
Q14192,FHL2,Four and a half LIM domains protein 2,"Cytoplasm, Nucleus",0.0435,0.2512,0.165,Not confident,"Transcription, Transcription regulation",none
Q9H3S7,PTPN23,Tyrosine-protein phosphatase non-receptor type 23,"Cell projection, Cilium, Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Endosome, Nucleus",0.04346,0.2695,0.162,Not confident,"Cilium biogenesis/degradation, Hydrolase, Protein phosphatase, Protein transport, Transport",none
Q9UJU5,FOXD3,Forkhead box protein D3,Nucleus,0.04343,0.31,0.145,Not confident,"Activator, Developmental protein, DNA-binding, Repressor, Transcription, Transcription regulation",none
Q8TDU6,GPBAR1,G-protein coupled bile acid receptor 1,"Cell membrane, Membrane",0.04343,0.2064,0.077,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P46109,CRKL,Crk-like protein,NA,0.0434,0.5835,0.148,high,NA,['P00533_S2__P46109_S0.pdb']
Q9ULK0,GRID1,"Glutamate receptor ionotropic, delta-1","Cell membrane, Membrane, Postsynaptic cell membrane, Synapse",0.04337,0.3342,0.123,Not confident,"Ion channel, Ion transport, Ligand-gated ion channel, Receptor, Transport",none
O00444,PLK4,Serine/threonine-protein kinase PLK4,"Cytoplasm, Cytoskeleton, Nucleus",0.04337,0.2012,0.141,Not confident,"Kinase, Serine/threonine-protein kinase, Transferase",none
Q8ND25,ZNRF1,E3 ubiquitin-protein ligase ZNRF1,"Cytoplasmic vesicle, Endosome, Lysosome, Membrane, Synapse",0.0433,0.358,0.182,Not confident,"Transferase, Ubl conjugation pathway",none
A6NIR3,AGAP5,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5",NA,0.0433,0.1399,0.143,Not confident,GTPase activation,none
P39060,COL18A1,Collagen alpha-1(XVIII) chain,"Basement membrane, Extracellular matrix, Secreted",0.04324,0.2227,0.17,Not confident,Cell adhesion,none
P61956,SUMO2,Small ubiquitin-related modifier 2,Nucleus,0.04324,0.06946,0.156,Not confident,"Host-virus interaction, Ubl conjugation pathway",none
P62333,PSMC6,26S proteasome regulatory subunit 10B,"Cytoplasm, Nucleus, Proteasome",0.0432,0.107,0.133,Not confident,NA,none
Q8WXK3,ASB13,Ankyrin repeat and SOCS box protein 13,NA,0.04318,0.3027,0.249,Not confident,Ubl conjugation pathway,none
O60806,TBX19,T-box transcription factor TBX19,Nucleus,0.04315,0.4395,0.12,Not confident,"Activator, DNA-binding, Repressor, Transcription, Transcription regulation",none
P21781,FGF7,Fibroblast growth factor 7,Secreted,0.04315,0.1617,0.111,Not confident,"Growth factor, Heparin-binding, Mitogen",none
O00212,RHOD,Rho-related GTP-binding protein RhoD,"Cell membrane, Endosome, Membrane",0.04312,0.1682,0.148,Not confident,NA,none
Q8WXH5,SOCS4,Suppressor of cytokine signaling 4,NA,0.04312,0.1437,0.122,Not confident,"Growth regulation, Signal transduction inhibitor, Ubl conjugation pathway",none
Q92797,SYMPK,Symplekin,"Cell junction, Cell membrane, Cytoplasm, Cytoskeleton, Membrane, Nucleus, Tight junction",0.0431,0.2703,0.17,Not confident,"Cell adhesion, mRNA processing",none
Q92522,H1-10,Histone H1.10,"Chromosome, Nucleus",0.0431,0.11346,0.101,Not confident,DNA-binding,none
Q9NUC0,SERTAD4,SERTA domain-containing protein 4,NA,0.0431,0.0477,0.081,Not confident,NA,none
Q96S59,RANBP9,Ran-binding protein 9,"Cell membrane, Cytoplasm, Membrane, Nucleus",0.04306,0.1718,0.168,Not confident,NA,none
Q5JU69,TOR2A,Torsin-2A,Endoplasmic reticulum,0.04303,0.45,0.167,Not confident,NA,none
P43235,CTSK,Cathepsin K,"Cell membrane, Lysosome, Membrane, Secreted",0.04303,0.3071,0.184,Not confident,"Hydrolase, Protease, Thiol protease",none
Q9UH36,SRRD,SRR1-like protein,Cytoplasm,0.043,0.09863,0.181,Not confident,"Biological rhythms, Heme biosynthesis",none
P41220,RGS2,Regulator of G-protein signaling 2,"Cell membrane, Cytoplasm, Membrane, Mitochondrion, Nucleus",0.04297,0.11,0.136,Not confident,"Cell cycle, GTPase activation, Signal transduction inhibitor, Translation regulation",none
P46783,RPS10,Small ribosomal subunit protein eS10,"Cytoplasm, Nucleus",0.04294,0.2021,0.18,Not confident,"Ribonucleoprotein, Ribosomal protein",none
Q9NWU1,OXSM,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",Mitochondrion,0.04294,0.1895,0.171,Not confident,"Acyltransferase, Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Transferase",none
P14921,ETS1,Protein C-ets-1,"Cytoplasm, Nucleus",0.0429,0.1592,0.167,Not confident,"DNA-binding, Immunity, Transcription, Transcription regulation",none
Q96MT3,PRICKLE1,Prickle-like protein 1,"Cytoplasm, Membrane, Nucleus",0.04288,0.1981,0.121,Not confident,NA,none
P56182,RRP1,Ribosomal RNA processing protein 1 homolog A,Nucleus,0.04288,0.1815,0.217,Not confident,rRNA processing,none
Q8IUH2,CREG2,Protein CREG2,Secreted,0.04285,0.3865,0.129,Not confident,NA,none
Q5JPE7,NOMO2,BOS complex subunit NOMO2,"Endoplasmic reticulum, Membrane",0.04285,0.3157,0.16,Not confident,NA,none
O00161,SNAP23,Synaptosomal-associated protein 23,"Cell membrane, Membrane, Synapse, Synaptosome",0.04285,0.1277,0.132,Not confident,"Protein transport, Transport",none
Q14188,TFDP2,Transcription factor Dp-2,Nucleus,0.04282,0.3171,0.143,Not confident,"Activator, Cell cycle, DNA-binding, Transcription, Transcription regulation",none
Q86XP3,DDX42,ATP-dependent RNA helicase DDX42,"Cytoplasm, Nucleus",0.04282,0.2134,0.189,Not confident,"Helicase, Hydrolase, RNA-binding",none
O00422,SAP18,Histone deacetylase complex subunit SAP18,"Cytoplasm, Nucleus",0.04282,0.1486,0.182,Not confident,"mRNA processing, mRNA splicing, Repressor, Transcription, Transcription regulation",none
P05305,EDN1,Endothelin-1,Secreted,0.04282,0.1318,0.068,Not confident,"Vasoactive, Vasoconstrictor",none
A0PK00,TMEM120B,Transmembrane protein 120B,"Membrane, Nucleus",0.0428,0.3025,0.139,Not confident,NA,none
P01138,NGF,Beta-nerve growth factor,"Endosome, Secreted",0.0428,0.194,0.072,Not confident,"Growth factor, Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor",none
Q32P28,P3H1,Prolyl 3-hydroxylase 1,"Endoplasmic reticulum, Extracellular matrix, Secreted",0.0428,0.1711,0.139,Not confident,"Dioxygenase, Oxidoreductase",none
P07437,TUBB,Tubulin beta chain,"Cytoplasm, Cytoskeleton, Microtubule",0.0428,0.0822,0.1,Not confident,NA,none
Q9Y5A9,YTHDF2,YTH domain-containing family protein 2,"Cytoplasm, Nucleus",0.04276,0.2534,0.167,Not confident,"Cell cycle, Cell division, Differentiation, Host-virus interaction, Immunity, Innate immunity, Mitosis, Oogenesis, RNA-binding, Spermatogenesis",none
Q92622,RUBCN,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein,"Endosome, Lysosome",0.04276,0.1974,0.138,Not confident,"Autophagy, Endocytosis, Immunity, Phagocytosis",none
P39656,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,"Endoplasmic reticulum, Membrane",0.04272,0.2627,0.159,Not confident,NA,none
P13693,TPT1,Translationally-controlled tumor protein,Cytoplasm,0.04272,0.2059,0.199,Not confident,NA,none
